658207239.713653:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,0.1902718,0.07360113,-0.0143066,0.9788641
658207242.71646:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,0.1930071,0.06075077,-0.01197389,0.9792417
658207245.720334:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,0.1907435,0.02569598,-0.004994792,0.9812908
658207248.724236:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,-0.2044213,0.02647765,0.005531471,0.9785092
658207251.80535:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,-0.1830818,0.0111526,0.002077081,0.9830322
658207255.645641:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,-0.07575179,0.05044717,0.003837417,0.9958424
658207258.65429:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,-0.1096459,-0.03988948,-0.004403842,0.9931602
658207261.660306:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,-0.1062635,0.003470842,0.0003709262,0.9943319
658207264.667319:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,-0.1701693,0.02149652,0.0037131,0.9851733
658207267.671255:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,-0.1399685,-0.03110127,-0.004398689,0.9896576
658207270.70915:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,-0.2060455,0.03841607,0.008095548,0.9777545
658207273.716132:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,-0.2347164,-0.05849018,-0.01415029,0.9701994
658207276.725308:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,0.02498182,0.960426,-0.0916322,0.2618423
658207279.732046:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,0.03329604,0.9624287,-0.2310584,0.1386882
658207282.734153:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,0.06175302,0.9372176,-0.2643226,0.2189598
658207285.736617:36.3679727877269,127.362251952061,150.309814453125,703.0867,1.5,352.9103,-0.004137599,0.9852619,0.1692991,0.02407939
658207288.738119:36.3680667641893,127.36219575713,150.195587158203,698.0544,1.5,363.3618,0.05017558,-0.2221047,0.01144567,0.9736637
658207291.744161:36.3681314624315,127.362156728954,150.134506225586,694.5594,1.5,370.5572,-0.156907,-0.1603977,-0.02583514,0.9741588
658207294.750169:36.3681314624315,127.362156728954,150.134506225586,694.5594,1.5,370.5572,0.1524904,-0.2422536,0.03858598,0.9573772
658207297.755548:36.3681764208139,127.362145562078,149.986221313477,693.5594,1.5,375.5572,0.1577476,-0.2735511,0.04553146,0.9477407
658207300.764367:36.3681404543844,127.362145562078,150.160919189453,693.5594,1.5,371.5572,0.147832,-0.1818589,0.02766598,0.9717549
